Model,RMSE,MAE,Precision@5,Recall@5,F1@5,Precision@10,Recall@10,F1@10
Content-Based,1.0161827914464574,0.8119296285104932,0.6793126459793126,0.39330218398228367,0.4981753744352266,0.6071905238571905,0.5956497523046447,0.6013647735364025
Collaborative (SVD),0.8783851612324959,0.6902116038110034,0.7916916916916916,0.4404475279301779,0.5660052742992436,0.6866199532866201,0.6387475130482461,0.6618191538742977
Weighted Hybrid (α=0.10),0.8767905187840066,0.6918677352815797,0.7928595261928595,0.44068706453942436,0.5665014030522029,0.686986986986987,0.6389626584756105,0.6621051305311232
Switching Hybrid (thr=50),0.8897,0.6980,0.7737,0.4224,0.5465,0.6835,0.6347,0.6582
